1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,HouseAge,RemodAge,GarageAge,TotalSF,AboveGradeSF,IsRemodeled,Has2ndFlr,HasPorch,HasDeck
894,1039.0,4.0,Mn,0,Unf,894,668,Fin,1933,Gd,14598,86.0,74.0,18,5,6,894,18,18,18.0,2827.0,1933.0,0,1,0,0
672,546.0,3.0,No,356,BLQ,316,264,Unf,1218,TA,1890,21.0,285.0,28,5,6,672,52,52,52.0,1890.0,1218.0,0,1,0,0
1161,808.0,3.0,No,0,Unf,808,534,RFn,1969,TA,11952,92.0,0.0,0,6,7,808,48,48,48.0,2777.0,1969.0,0,1,0,0
1220,870.0,3.0,No,1079,GLQ,141,556,RFn,2090,Gd,10000,80.0,438.0,65,5,8,1220,30,29,30.0,3310.0,2090.0,1,1,0,0
1484,0.0,3.0,Av,998,ALQ,486,487,Unf,1484,TA,12243,70.0,0.0,0,6,5,1484,54,54,54.0,2968.0,1484.0,0,0,0,0
1656,0.0,4.0,No,0,Unf,1656,506,Unf,1656,TA,9246,87.0,564.0,211,5,5,1656,52,52,52.0,3312.0,1656.0,0,0,0,0
818,406.0,3.0,No,468,Rec,350,210,Unf,1224,TA,3950,,0.0,0,8,6,818,99,21,99.0,2042.0,1224.0,1,1,0,0
1022,1032.0,3.0,No,695,GLQ,297,390,RFn,2054,Gd,12224,,40.0,48,5,6,992,25,25,25.0,3046.0,2054.0,0,1,0,0
854,0.0,2.0,No,0,Unf,832,576,Unf,854,TA,6120,51.0,0.0,112,8,7,832,96,24,34.0,1686.0,854.0,1,0,0,0
546,546.0,3.0,No,334,BLQ,212,286,RFn,1092,TA,1974,,0.0,96,5,4,546,52,52,52.0,1638.0,1092.0,0,1,0,0
1268,0.0,3.0,Av,196,ALQ,1072,252,Unf,1268,Gd,9286,,0.0,0,7,5,1268,48,36,47.0,2536.0,1268.0,1,0,0,0
827,834.0,3.0,Av,385,GLQ,70,550,RFn,1661,Gd,10667,43.0,0.0,61,6,7,799,29,29,29.0,2460.0,1661.0,0,1,0,0
1668,0.0,3.0,Av,370,BLQ,315,502,Fin,1668,Gd,10635,48.0,171.0,262,5,8,1657,22,22,22.0,3325.0,1668.0,0,0,0,0
1493,0.0,,Gd,994,GLQ,484,508,Fin,1493,Gd,13125,75.0,215.0,39,5,6,1478,28,27,28.0,2971.0,1493.0,1,0,0,0
932,0.0,2.0,No,0,Unf,932,306,Unf,932,Gd,8280,57.0,0.0,0,5,6,932,75,75,75.0,1864.0,932.0,0,0,0,0
1277,0.0,2.0,Gd,778,GLQ,499,526,Unf,1277,TA,10628,85.0,0.0,0,5,7,1277,55,55,55.0,2554.0,1277.0,0,0,0,0
1530,0.0,3.0,Av,1300,GLQ,230,630,Fin,1530,Gd,14572,182.0,0.0,36,5,7,1530,21,21,21.0,3060.0,1530.0,0,0,0,1
1344,0.0,2.0,No,457,ALQ,193,484,Unf,1344,TA,9503,,0.0,28,5,5,1024,67,42,55.0,2368.0,1344.0,1,0,0,0
860,0.0,2.0,Av,672,ALQ,168,528,Unf,860,TA,8740,74.0,0.0,0,6,5,840,43,43,29.0,1700.0,860.0,0,0,0,0
1314,0.0,2.0,No,904,GLQ,410,626,,1314,Gd,5001,34.0,166.0,62,5,7,1314,18,17,17.0,2628.0,1314.0,1,0,0,0
1391,571.0,3.0,Mn,464,GLQ,927,868,RFn,1962,Gd,8760,73.0,0.0,90,5,7,1391,19,19,19.0,3353.0,1962.0,0,1,0,0
788,702.0,3.0,Av,724,GLQ,64,388,Fin,1490,Gd,15384,60.0,0.0,75,5,7,788,21,20,21.0,2278.0,1490.0,1,1,0,0
848,0.0,1.0,Av,662,GLQ,186,420,,848,Gd,4426,,169.0,0,5,6,848,21,21,21.0,1696.0,848.0,0,0,0,0
672,0.0,2.0,No,0,Unf,672,240,Unf,672,TA,10200,60.0,0.0,0,8,5,672,85,28,85.0,1344.0,672.0,1,0,0,0
1188,1152.0,4.0,No,275,GLQ,877,252,RFn,2340,Gd,9042,66.0,0.0,60,9,7,1152,84,19,84.0,3492.0,2340.0,1,1,0,0
808,704.0,3.0,No,0,Unf,660,180,Unf,1656,TA,10410,60.0,0.0,0,7,5,660,109,38,109.0,2172.0,1512.0,1,1,0,0
725,754.0,4.0,No,626,ALQ,99,484,Fin,1479,Gd,7472,,138.0,32,9,7,725,53,21,53.0,2204.0,1479.0,1,1,0,0
1226,0.0,,No,0,Unf,1226,740,RFn,1226,Gd,10402,94.0,0.0,36,5,7,1226,16,16,16.0,2452.0,1226.0,0,0,0,0
976,1111.0,5.0,Gd,568,LwQ,264,444,Fin,2087,Gd,12205,,157.0,168,8,6,832,59,18,59.0,2919.0,2087.0,1,1,0,0
1158,0.0,3.0,No,941,ALQ,217,576,Unf,1158,Gd,13072,63.0,0.0,50,5,6,1158,21,21,19.0,2316.0,1158.0,0,0,0,0
1154,0.0,3.0,Mn,740,BLQ,184,480,RFn,1154,TA,11000,,200.0,58,6,5,1154,59,59,59.0,2308.0,1154.0,0,0,0,0
880,844.0,3.0,Av,0,Unf,880,527,Fin,1724,Gd,8924,57.0,0.0,155,5,7,880,27,26,27.0,2604.0,1724.0,1,1,0,0
773,885.0,3.0,No,219,GLQ,554,431,Fin,1658,TA,8000,,0.0,84,5,6,773,30,29,30.0,2431.0,1658.0,1,1,0,0
1126,0.0,2.0,,0,,0,520,Fin,1126,Gd,8777,67.0,0.0,96,5,4,0,76,22,23.0,1126.0,1126.0,1,0,0,0
872,521.0,3.0,No,0,Unf,816,300,Unf,1393,TA,16466,59.0,0.0,0,7,5,816,70,70,70.0,2209.0,1393.0,0,1,0,0
1968,1479.0,4.0,Mn,192,Rec,536,1014,,3447,Gd,14100,,632.0,12,9,8,728,90,28,43.0,4175.0,3447.0,1,1,0,0
483,504.0,2.0,No,309,BLQ,174,264,Unf,987,TA,1953,21.0,408.0,0,5,6,483,52,52,52.0,1470.0,987.0,0,1,0,0
808,547.0,4.0,No,351,ALQ,112,0,,1355,TA,10106,62.0,0.0,0,7,5,644,85,26,,1999.0,1355.0,1,1,0,0
2069,0.0,4.0,Gd,425,GLQ,160,505,RFn,2069,Gd,27650,313.0,0.0,0,7,7,585,65,18,65.0,2654.0,2069.0,1,0,0,0
757,,,No,549,ALQ,195,440,Unf,1501,TA,2280,24.0,360.0,0,5,7,744,26,26,26.0,1501.0,757.0,0,0,0,0
1976,0.0,2.0,Gd,1350,,626,908,RFn,1976,Gd,14977,110.0,304.0,63,5,8,1976,19,18,19.0,3952.0,1976.0,1,0,0,0
1563,0.0,3.0,No,33,GLQ,1530,758,RFn,1563,Gd,10206,78.0,468.0,99,5,8,1563,18,18,18.0,3126.0,1563.0,0,0,0,0
572,539.0,2.0,No,0,Unf,572,288,Unf,1111,TA,5700,,0.0,0,7,7,572,99,75,43.0,1683.0,1111.0,1,1,0,0
851,651.0,3.0,No,0,Unf,776,270,RFn,1502,TA,7200,60.0,0.0,0,6,7,776,94,25,94.0,2278.0,1502.0,1,1,0,0
1733,0.0,4.0,,0,,0,452,Unf,1733,TA,13680,,0.0,0,5,3,0,70,70,70.0,1733.0,1733.0,0,0,0,0
1848,880.0,4.0,No,1410,GLQ,438,706,Fin,2728,Ex,20431,56.0,870.0,0,5,9,1848,20,19,19.0,4576.0,2728.0,1,1,0,0
630,672.0,3.0,No,231,ALQ,399,264,Unf,1302,TA,1680,21.0,268.0,0,7,5,630,53,53,53.0,1932.0,1302.0,0,1,0,0
1332,192.0,0.0,Gd,1258,GLQ,74,586,Fin,1524,Gd,23595,,0.0,0,6,7,1332,46,46,46.0,2856.0,1524.0,0,1,0,0
1120,468.0,4.0,,0,,0,680,Fin,1588,TA,17120,80.0,0.0,59,4,4,0,66,66,34.0,1588.0,1588.0,0,1,0,0
1125,0.0,2.0,No,0,Unf,1125,430,Unf,1125,TA,8536,74.0,0.0,64,5,5,1125,19,18,18.0,2250.0,1125.0,1,0,0,0
520,600.0,2.0,No,0,Unf,600,480,RFn,1200,Gd,3180,30.0,0.0,166,5,7,600,20,20,20.0,1720.0,1120.0,0,1,0,0
798,842.0,3.0,No,0,Unf,798,520,RFn,1640,Gd,8366,65.0,0.0,45,5,6,798,21,21,21.0,2438.0,1640.0,0,1,0,0
1223,904.0,3.0,No,1000,GLQ,223,525,RFn,2127,Gd,10944,81.0,448.0,132,5,7,1223,31,31,31.0,3350.0,2127.0,0,1,0,0
972,0.0,2.0,No,680,ALQ,292,240,Unf,972,TA,8000,50.0,0.0,0,6,6,972,77,23,77.0,1944.0,972.0,1,0,0,0
1142,878.0,3.0,No,584,GLQ,544,466,RFn,2020,Gd,9828,80.0,0.0,155,5,8,1128,30,30,30.0,3148.0,2020.0,0,1,0,0
1144,,,Av,739,BLQ,405,596,Unf,1144,TA,9571,68.0,0.0,0,6,5,1144,69,69,69.0,2288.0,1144.0,0,0,0,1
1352,0.0,3.0,Av,300,BLQ,468,288,Unf,1352,Gd,6930,92.0,120.0,0,4,5,1062,67,67,67.0,2414.0,1352.0,0,0,0,0
926,0.0,3.0,No,234,LwQ,0,484,Unf,1316,TA,5500,50.0,0.0,0,7,5,926,96,24,51.0,1852.0,926.0,1,0,0,0
1086,838.0,3.0,Av,956,GLQ,130,592,RFn,1924,Gd,12011,78.0,530.0,75,5,8,1086,27,27,27.0,3010.0,1924.0,0,1,0,1
1164,0.0,3.0,No,1040,ALQ,124,240,Unf,1164,TA,10880,68.0,0.0,48,5,5,1164,75,75,75.0,2328.0,1164.0,0,0,0,0
952,0.0,2.0,Mn,852,ALQ,100,840,Unf,952,TA,7350,60.0,0.0,0,7,5,952,74,74,37.0,1904.0,952.0,0,0,0,0
938,1215.0,4.0,No,259,LwQ,425,0,,2358,TA,5250,50.0,0.0,54,5,8,684,153,38,,2837.0,2153.0,1,1,0,0
1680,0.0,3.0,No,808,GLQ,72,540,Fin,1680,Gd,21695,,260.0,44,9,6,880,37,18,37.0,2560.0,1680.0,1,0,0,0
1221,691.0,3.0,No,0,Unf,482,672,Unf,1912,TA,10800,60.0,0.0,25,7,6,482,120,25,22.0,2394.0,1912.0,1,1,0,0
1004,0.0,2.0,No,578,ALQ,426,480,Fin,1004,TA,11241,,180.0,0,7,6,1004,55,55,55.0,2008.0,1004.0,0,0,0,0
774,456.0,3.0,No,384,ALQ,363,305,Unf,1230,TA,4712,51.0,0.0,57,7,4,747,79,75,79.0,1977.0,1230.0,1,1,0,0
1167,0.0,3.0,No,645,BLQ,270,495,Unf,1167,TA,8731,98.0,0.0,0,5,5,915,105,75,53.0,2082.0,1167.0,1,0,0,0
1301,0.0,2.0,Mn,405,LwQ,740,440,Unf,1301,Fa,6911,60.0,0.0,0,5,5,1145,101,75,60.0,2446.0,1301.0,1,0,0,0
1453,0.0,,Gd,1082,GLQ,371,445,RFn,1453,Gd,5271,,0.0,80,5,7,1453,39,39,39.0,2906.0,1453.0,0,0,0,0
1601,0.0,3.0,Av,1358,GLQ,223,670,RFn,1601,Gd,11423,,479.0,0,5,8,1581,24,23,24.0,3182.0,1601.0,1,0,0,0
1588,0.0,3.0,Av,0,Unf,1588,825,,1588,Gd,10000,85.0,410.0,45,5,8,1588,19,19,19.0,3176.0,1588.0,0,0,0,0
1095,0.0,2.0,Gd,513,ALQ,75,264,,1095,TA,10382,75.0,105.0,0,5,6,588,67,67,67.0,1683.0,1095.0,0,0,0,0
1050,0.0,3.0,No,915,Rec,135,368,Unf,1050,TA,10659,,0.0,319,6,5,1050,64,64,64.0,2100.0,1050.0,0,0,0,0
960,0.0,3.0,No,520,Rec,440,432,Fin,960,TA,10921,73.0,48.0,0,5,4,960,60,60,60.0,1920.0,960.0,0,0,0,0
1002,454.0,4.0,Mn,0,Unf,810,280,Unf,1456,TA,7585,50.0,0.0,0,3,5,810,77,75,71.0,2266.0,1456.0,1,1,0,0
1489,0.0,3.0,No,0,Unf,1489,462,RFn,1489,Gd,9156,,0.0,0,7,6,1489,57,57,57.0,2978.0,1489.0,0,0,0,0
1726,0.0,3.0,No,1126,,600,786,,1726,Ex,9416,79.0,205.0,138,5,7,1726,18,18,18.0,3452.0,1726.0,0,0,0,0
1362,720.0,3.0,No,0,Unf,1362,484,Unf,2082,Gd,11426,63.0,0.0,238,5,7,1362,22,22,22.0,3444.0,2082.0,0,1,0,0
1339,0.0,,No,1053,ALQ,256,484,Fin,1339,TA,8049,50.0,54.0,58,5,7,1309,35,35,35.0,2648.0,1339.0,0,0,0,0
1310,1140.0,3.0,Mn,781,GLQ,503,1069,Fin,2450,Gd,16545,,731.0,126,5,8,1284,27,27,27.0,3734.0,2450.0,0,1,0,0
879,984.0,4.0,Av,0,Unf,879,660,Fin,1863,Gd,14054,58.0,0.0,17,5,7,879,19,19,19.0,2742.0,1863.0,0,1,0,0
768,0.0,2.0,Av,656,GLQ,112,396,Unf,768,TA,8445,70.0,0.0,0,7,5,768,53,18,37.0,1536.0,768.0,1,0,0,0
334,0.0,1.0,,0,,0,0,,334,Fa,5000,50.0,0.0,0,3,1,0,79,75,,334.0,334.0,1,0,0,0
1136,0.0,3.0,No,892,Rec,244,384,,1136,TA,9200,80.0,0.0,0,6,6,1136,60,60,60.0,2272.0,1136.0,0,0,0,0
1337,0.0,2.0,No,1201,GLQ,36,405,Fin,1337,TA,4500,32.0,443.0,199,5,6,1237,27,27,27.0,2574.0,1337.0,0,0,0,0
912,0.0,2.0,No,312,Rec,0,288,Unf,912,TA,7800,66.0,0.0,0,5,5,912,61,61,61.0,1824.0,912.0,0,0,0,0
876,936.0,4.0,No,540,ALQ,324,264,RFn,1812,TA,7590,69.0,288.0,168,5,5,864,63,63,63.0,2676.0,1812.0,0,1,0,0
1052,720.0,4.0,No,378,,342,240,,2192,Gd,8400,60.0,0.0,24,8,5,720,86,28,86.0,2492.0,1772.0,1,1,0,0
658,526.0,5.0,No,0,Unf,658,0,,1184,TA,8410,58.0,0.0,151,3,5,658,115,29,,1842.0,1184.0,1,1,0,0
964,925.0,4.0,No,0,Unf,925,308,Unf,1889,TA,10120,60.0,0.0,0,4,7,925,115,75,65.0,2814.0,1889.0,1,1,0,0
1327,0.0,,No,405,Rec,658,624,Unf,1327,Gd,7388,75.0,0.0,0,6,5,1063,66,23,51.0,2390.0,1327.0,1,0,0,0
1422,0.0,3.0,No,588,,606,576,Fin,1422,Gd,12090,78.0,210.0,0,6,6,1422,44,44,44.0,2844.0,1422.0,0,0,0,0
1632,0.0,4.0,Av,0,Unf,1632,576,Unf,1632,TA,25000,100.0,0.0,0,4,5,1632,58,58,58.0,3264.0,1632.0,0,0,0,0
1630,0.0,3.0,No,0,,1630,451,Unf,1630,Gd,9750,75.0,171.0,234,5,7,1630,25,24,25.0,3260.0,1630.0,1,0,0,0
1013,0.0,2.0,No,0,Unf,1013,0,,1526,Fa,8470,105.0,0.0,0,2,3,1013,110,43,,2026.0,1013.0,1,0,0,0
1040,0.0,2.0,,0,,0,420,Unf,1040,TA,7200,60.0,0.0,0,5,4,0,76,75,69.0,1040.0,1040.0,1,0,0,0
841,806.0,4.0,No,0,Unf,806,216,Unf,1647,Fa,6858,66.0,0.0,66,4,6,806,110,75,105.0,2453.0,1647.0,1,1,1,0
1328,653.0,4.0,No,622,BLQ,500,576,Unf,1981,Gd,7804,65.0,0.0,44,3,4,1122,97,75,44.0,3103.0,1981.0,1,1,0,1
1644,0.0,3.0,No,1285,GLQ,131,418,Fin,1644,TA,9600,80.0,238.0,0,5,6,1416,72,72,72.0,3060.0,1644.0,0,0,0,0
1482,1092.0,3.0,No,0,Unf,1482,868,Fin,2574,Ex,9588,69.0,270.0,148,5,8,1482,18,18,18.0,4056.0,2574.0,0,1,0,0
1060,764.0,,No,0,Unf,764,520,Unf,1824,TA,13515,60.0,0.0,0,6,6,764,106,75,85.0,2588.0,1824.0,1,1,0,0
1350,0.0,3.0,Gd,624,GLQ,288,520,RFn,1350,TA,9020,82.0,259.0,0,5,6,1248,61,61,61.0,2598.0,1350.0,0,0,0,0
958,0.0,2.0,No,958,LwQ,0,440,RFn,958,TA,4928,,0.0,60,6,6,958,49,49,49.0,1916.0,958.0,0,0,0,0
1053,795.0,4.0,No,0,Unf,833,370,Unf,1848,Gd,13053,64.0,0.0,0,7,6,833,102,25,103.0,2681.0,1848.0,1,1,0,0
1620,0.0,3.0,No,1116,BLQ,165,490,Unf,1620,TA,9991,,0.0,78,4,4,1281,49,32,32.0,2901.0,1620.0,1,0,0,0
1167,0.0,3.0,No,560,GLQ,598,400,RFn,1167,Gd,9248,,106.0,26,6,6,1158,33,33,33.0,2325.0,1167.0,0,0,0,1
798,,3.0,No,94,LwQ,641,220,Unf,1487,TA,8741,52.0,0.0,140,4,6,735,80,75,76.0,1533.0,798.0,1,0,0,0
892,0.0,3.0,No,432,BLQ,460,288,RFn,892,TA,7150,65.0,60.0,0,5,5,892,58,58,58.0,1784.0,892.0,0,0,0,0
804,0.0,,No,510,BLQ,278,240,Unf,804,Gd,7200,60.0,294.0,0,7,5,788,85,33,85.0,1592.0,804.0,1,0,0,0
1140,0.0,3.0,No,0,Unf,1140,0,,1140,TA,17217,90.0,0.0,56,5,5,1140,19,19,,2280.0,1140.0,0,0,0,0
983,813.0,4.0,No,400,BLQ,380,483,RFn,1796,TA,7056,71.0,415.0,50,5,6,780,62,62,62.0,2576.0,1796.0,0,1,0,0
1118,912.0,4.0,No,156,LwQ,692,551,Fin,2030,Gd,12046,,298.0,224,6,6,848,49,49,49.0,2878.0,2030.0,0,1,0,0
1026,981.0,3.0,Av,765,GLQ,252,812,,2007,Ex,11003,85.0,160.0,52,5,10,1017,17,17,17.0,3024.0,2007.0,0,1,0,0
691,0.0,2.0,No,0,Unf,691,216,Unf,691,Ex,5400,60.0,0.0,20,6,5,691,105,75,105.0,1382.0,691.0,1,0,0,0
786,,3.0,No,0,Unf,768,676,RFn,1590,Gd,9000,75.0,0.0,30,5,8,768,17,17,17.0,1554.0,786.0,0,0,0,0
1216,639.0,4.0,No,444,Rec,550,325,Unf,1855,TA,9525,75.0,0.0,0,4,6,994,71,53,71.0,2849.0,1855.0,1,1,0,0
1028,776.0,3.0,No,0,Unf,994,442,Fin,1804,Gd,7500,60.0,0.0,60,5,7,994,26,26,26.0,2798.0,1804.0,0,1,0,0
884,884.0,,No,550,GLQ,334,543,,1768,Gd,8158,65.0,252.0,63,5,7,884,22,22,22.0,2652.0,1768.0,0,1,0,0
1831,1796.0,4.0,Gd,1387,GLQ,543,807,Fin,3627,Gd,35760,118.0,1378.0,76,5,10,1930,30,29,30.0,5557.0,3627.0,1,1,0,0
1298,,3.0,No,1258,GLQ,40,403,,1298,Gd,11200,,85.0,26,5,6,1298,40,40,40.0,2596.0,1298.0,0,0,0,0
1801,0.0,1.0,No,1247,ALQ,254,484,Fin,1801,TA,15602,100.0,0.0,54,8,7,1501,66,28,66.0,3302.0,1801.0,1,0,0,0
630,0.0,1.0,Av,553,GLQ,77,0,,630,Ex,1533,21.0,0.0,0,7,5,630,55,55,,1260.0,630.0,0,0,0,0
1103,0.0,2.0,No,397,BLQ,706,440,,1103,Gd,6000,50.0,0.0,120,6,6,1103,100,45,49.0,2206.0,1103.0,1,0,0,0
859,319.0,2.0,Mn,0,Unf,859,384,RFn,1178,TA,8712,66.0,0.0,0,7,4,859,125,75,61.0,2037.0,1178.0,1,1,0,0
1196,0.0,2.0,No,197,LwQ,999,440,Unf,1196,TA,4800,40.0,0.0,0,7,4,1196,109,35,68.0,2392.0,1196.0,1,0,0,0
1372,,3.0,No,0,Unf,1372,529,Fin,1372,Gd,8640,72.0,0.0,140,5,7,1372,18,17,17.0,2744.0,1372.0,1,0,0,0
1431,0.0,3.0,Gd,371,GLQ,728,296,RFn,1431,TA,9150,101.0,305.0,110,5,6,1099,63,63,63.0,2530.0,1431.0,0,0,0,0
1422,0.0,3.0,Av,0,Unf,1422,626,RFn,1422,Gd,8500,63.0,106.0,60,5,7,1422,21,21,21.0,2844.0,1422.0,0,0,0,0
1079,874.0,3.0,Av,985,GLQ,595,501,Fin,1953,Gd,53107,,0.0,231,5,6,1580,33,33,33.0,3533.0,1953.0,0,1,0,0
1121,0.0,2.0,No,0,Unf,1121,440,RFn,1121,TA,8546,80.0,0.0,64,5,4,1121,22,21,22.0,2242.0,1121.0,1,0,0,0
1143,1330.0,4.0,Av,0,Unf,1143,852,,2473,Gd,9591,76.0,344.0,151,5,8,1143,21,20,21.0,3616.0,2473.0,1,1,0,0
1057,0.0,3.0,No,417,Rec,640,576,Fin,1057,TA,7420,70.0,0.0,0,5,5,1057,63,63,48.0,2114.0,1057.0,0,0,0,0
1110,0.0,,Av,1097,GLQ,0,602,Fin,1110,Gd,9101,,104.0,30,6,5,1097,47,47,47.0,2207.0,1110.0,0,0,0,0
1164,1106.0,4.0,No,524,GLQ,628,671,Fin,2270,Gd,11764,92.0,348.0,57,7,8,1152,26,18,26.0,3422.0,2270.0,1,1,0,0
2018,0.0,3.0,Gd,0,Unf,2002,746,Fin,2018,Ex,13214,89.0,0.0,76,5,9,2002,17,16,16.0,4020.0,2018.0,1,0,0,0
672,714.0,3.0,Mn,438,Rec,234,440,Fin,1386,TA,11616,,328.0,0,5,6,672,47,47,47.0,2058.0,1386.0,0,1,0,0
1082,871.0,3.0,Mn,0,Unf,1082,1043,RFn,1953,Gd,10574,85.0,0.0,50,5,8,1082,20,19,20.0,3035.0,1953.0,1,1,0,0
1337,0.0,2.0,No,733,GLQ,604,462,RFn,1337,Gd,5395,41.0,0.0,0,5,8,1337,32,32,32.0,2674.0,1337.0,0,0,0,0
997,1288.0,4.0,No,0,Unf,969,648,Fin,2285,Gd,11000,,72.0,56,5,8,969,25,25,25.0,3254.0,2285.0,0,1,0,0
1718,0.0,3.0,Gd,1288,GLQ,417,826,RFn,1718,Gd,10637,79.0,336.0,44,5,8,1705,18,17,18.0,3423.0,1718.0,1,0,0,0
1086,0.0,3.0,Av,516,ALQ,380,484,RFn,1086,TA,13400,85.0,1047.0,0,5,5,1024,59,59,59.0,2110.0,1086.0,0,0,0,0
1555,0.0,2.0,No,0,Unf,1373,660,Fin,1555,Gd,3684,53.0,130.0,20,5,7,1373,18,18,18.0,2928.0,1555.0,0,0,0,0
1902,0.0,3.0,Av,1406,GLQ,496,567,Fin,1902,Ex,17500,100.0,0.0,207,8,7,1902,66,23,66.0,3804.0,1902.0,1,0,0,0
1298,1216.0,4.0,No,1216,LwQ,0,693,Fin,2514,TA,11170,,0.0,0,5,7,1216,35,34,35.0,3730.0,2514.0,1,1,0,0
1224,0.0,2.0,Av,1086,GLQ,0,528,Unf,1224,TA,7018,64.0,275.0,0,5,5,1086,46,46,46.0,2310.0,1224.0,0,0,0,0
1054,0.0,3.0,No,602,ALQ,14,460,Unf,1054,TA,9750,65.0,0.0,0,8,6,1054,56,56,56.0,2108.0,1054.0,0,0,0,0
1276,1336.0,4.0,No,854,GLQ,371,676,Fin,2612,Gd,12203,98.0,975.0,0,5,8,1225,27,26,27.0,3837.0,2612.0,1,1,0,0
902,0.0,3.0,No,599,GLQ,277,288,Unf,902,TA,6173,,75.0,0,6,5,876,58,58,58.0,1778.0,902.0,0,0,0,0
1153,,4.0,No,692,GLQ,153,484,RFn,2353,Ex,13005,94.0,278.0,195,7,7,845,45,45,42.0,1998.0,1153.0,0,0,0,0
689,703.0,3.0,No,378,GLQ,311,299,Fin,1392,TA,10900,,153.0,36,7,6,689,48,48,48.0,2081.0,1392.0,0,1,0,0
1155,0.0,3.0,Av,899,ALQ,210,576,Unf,1155,Gd,11782,88.0,0.0,0,7,5,1109,64,30,38.0,2264.0,1155.0,1,0,0,1
1136,768.0,3.0,No,180,Rec,676,240,Unf,1904,TA,7200,60.0,0.0,0,4,5,1208,75,43,75.0,3112.0,1904.0,1,1,0,0
950,208.0,3.0,No,0,Unf,862,208,RFn,1158,TA,6000,50.0,0.0,0,7,6,862,96,75,96.0,2020.0,1158.0,1,1,0,0
751,611.0,3.0,Mn,0,Unf,611,502,Fin,1362,TA,6155,60.0,0.0,0,8,6,611,105,26,105.0,1973.0,1362.0,1,1,0,0
1005,1286.0,4.0,No,0,Unf,975,429,Fin,2291,Gd,8738,66.0,302.0,0,5,7,975,26,26,26.0,3266.0,2291.0,0,1,0,0
649,668.0,3.0,No,0,Unf,649,250,Unf,1317,TA,8500,50.0,0.0,54,4,4,649,105,75,105.0,1966.0,1317.0,1,1,0,0
1734,0.0,3.0,No,1004,GLQ,730,928,,1734,Ex,12085,93.0,328.0,0,5,8,1734,18,18,18.0,3468.0,1734.0,0,0,0,0
1194,0.0,3.0,No,0,Unf,1194,312,RFn,1194,TA,8760,73.0,220.0,0,6,6,1194,66,66,66.0,2388.0,1194.0,0,0,0,0
876,540.0,4.0,Mn,0,Unf,876,720,Unf,1416,TA,12665,100.0,0.0,0,8,5,876,110,75,76.0,2292.0,1416.0,1,1,0,0
1383,0.0,3.0,Mn,1064,BLQ,319,354,,1383,TA,13284,,0.0,116,5,5,1383,71,71,71.0,2766.0,1383.0,0,0,0,0
1001,1001.0,,No,284,BLQ,717,871,Unf,2002,TA,6270,82.0,0.0,0,6,5,1001,76,75,76.0,3003.0,2002.0,1,1,0,0
1496,0.0,,Av,0,Unf,1496,474,,1496,Gd,9158,76.0,140.0,130,5,8,1496,18,18,18.0,2992.0,1496.0,0,0,0,0
984,620.0,3.0,No,408,,156,660,Unf,1604,TA,10998,60.0,0.0,68,5,5,984,84,65,48.0,2588.0,1604.0,1,1,0,0
764,0.0,2.0,No,0,Unf,680,504,Unf,764,TA,5232,30.0,0.0,0,5,5,680,100,21,60.0,1444.0,764.0,1,0,0,0
977,755.0,3.0,No,0,,741,476,Fin,1732,Gd,9206,77.0,336.0,46,5,6,741,40,40,40.0,2473.0,1732.0,0,1,0,0
1494,0.0,3.0,Av,0,Unf,1494,840,RFn,1494,Gd,10652,91.0,306.0,33,5,7,1494,19,18,19.0,2988.0,1494.0,1,0,0,1
986,0.0,2.0,No,0,Unf,960,180,Unf,986,TA,6180,60.0,0.0,128,5,6,960,99,75,99.0,1946.0,986.0,1,0,0,0
1145,0.0,2.0,No,16,GLQ,1129,397,Fin,1145,Gd,3182,43.0,11.0,16,5,7,1145,20,19,20.0,2290.0,1145.0,1,0,0,0
742,742.0,3.0,No,0,Unf,742,0,,1484,TA,6300,35.0,0.0,291,6,6,742,111,24,,2226.0,1484.0,1,1,0,0
1344,0.0,3.0,No,111,GLQ,354,525,RFn,1344,Gd,14375,,541.0,118,6,6,819,67,67,67.0,2163.0,1344.0,0,0,0,0
958,581.0,3.0,No,0,Unf,650,686,Unf,1539,Gd,10440,60.0,0.0,78,8,5,650,121,23,42.0,2189.0,1539.0,1,1,0,0
1134,1370.0,4.0,No,0,Unf,1122,656,Fin,2504,Ex,11198,77.0,245.0,39,5,9,1122,20,18,20.0,3626.0,2504.0,1,1,0,0
747,0.0,1.0,Mn,0,Unf,600,528,Unf,747,TA,5825,52.0,108.0,0,5,4,600,99,72,72.0,1347.0,747.0,1,0,0,0
1108,989.0,,Av,975,GLQ,133,583,RFn,2097,Gd,9750,75.0,0.0,170,6,7,1108,27,27,27.0,3205.0,2097.0,0,1,0,0
3138,1538.0,3.0,Gd,2260,GLQ,878,884,Fin,4676,Ex,40094,130.0,762.0,406,5,10,3138,18,17,18.0,7814.0,4676.0,1,1,0,0
786,390.0,2.0,No,0,Unf,698,624,Unf,1176,TA,6000,50.0,0.0,0,9,6,698,88,25,26.0,1874.0,1176.0,1,1,0,0
